type,filename,total_time,direction
indoor,20251011_123640.jpg,0.913,3
indoor,20251011_123647.jpg,0.982,11
indoor,20251011_123652.jpg,0.622,1
indoor,20251011_123659.jpg,0.613,1
indoor,20251011_123702.jpg,0.583,11:30
indoor,20251011_123713.jpg,0.529,11:30
indoor,20251011_123719.jpg,0.563,1
indoor,20251011_123804.jpg,0.586,11:30
indoor,20251011_123809.jpg,0.576,12:30
indoor,20251011_123832.jpg,0.514,12
indoor,20251011_123834.jpg,0.574,12:30
indoor,20251011_123904.jpg,0.583,12
indoor,20251011_123905.jpg,0.539,11:30
indoor,20251011_123906.jpg,0.568,11:30
indoor,20251011_123910.jpg,0.594,11
indoor,20251011_123920.jpg,0.5,1
indoor,20251011_124328.jpg,0.49,11:30
indoor,20251011_124341.jpg,0.518,12:30
indoor,20251011_124343.jpg,0.524,3
indoor,20251011_124404.jpg,0.511,12
indoor,20251011_124409.jpg,0.524,3
indoor,20251011_124514.jpg,0.5,12:30
indoor,20251011_124521.jpg,0.522,11
indoor,20251011_125107.jpg,0.528,12:30
indoor,20251011_125112.jpg,0.521,12:30
indoor,20251011_125122.jpg,0.515,1
indoor,20251011_125143.jpg,0.506,12:30
indoor,20251011_125209.jpg,0.476,3
indoor,20251011_125210.jpg,0.478,12:30
indoor,20251011_125239.jpg,0.474,12:30
indoor,20251011_125248.jpg,0.531,11
indoor,20251011_125303.jpg,0.495,11
indoor,20251011_125436.jpg,0.48,11
indoor,20251011_1254360.jpg,0.468,12:30
indoor,20251011_125448.jpg,0.502,12
indoor,20251011_125455.jpg,0.459,11:30
indoor,20251011_125458.jpg,0.483,12
indoor,20251011_125506.jpg,0.497,12:30
indoor,20251011_125514.jpg,0.504,11:30
indoor,20251011_125524.jpg,0.475,11:30
indoor,20251011_125530.jpg,0.532,11
indoor,20251011_125533.jpg,0.468,11
indoor,20251011_125538.jpg,0.479,1
indoor,20251011_125546.jpg,0.471,3
indoor,IMG-20251011-WA0002.jpg,0.261,12
indoor,IMG-20251011-WA0003.jpg,0.321,12:30
indoor,IMG-20251011-WA0004.jpg,0.265,11:30
indoor,IMG-20251011-WA0005.jpg,0.26,12:30
indoor,IMG-20251011-WA0006.jpg,0.252,1
indoor,IMG-20251011-WA0007.jpg,0.234,11
indoor,IMG-20251011-WA0008.jpg,0.267,12:30
indoor,IMG-20251011-WA0010.jpg,0.241,11:30
indoor,IMG-20251011-WA0015.jpg,0.23,11
indoor,IMG-20251011-WA0016.jpg,0.23,11:30
indoor,IMG-20251011-WA0017.jpg,0.272,11
indoor,IMG-20251011-WA0018.jpg,0.243,1
indoor,IMG-20251011-WA0019.jpg,0.244,11
indoor,IMG-20251011-WA0020.jpg,0.255,11:30
indoor,IMG-20251011-WA0021.jpg,0.246,11:30
outdoor,20251011_124545.jpg,0.481,11:30
outdoor,20251011_124549.jpg,0.559,12
outdoor,20251011_124559.jpg,0.522,11:30
outdoor,20251011_124600.jpg,0.52,11:30
outdoor,20251011_124611.jpg,0.489,11:30
outdoor,20251011_124625.jpg,0.572,1
outdoor,20251011_124711.jpg,0.53,11
outdoor,20251011_124727.jpg,0.512,12
outdoor,20251011_124738.jpg,0.52,12
outdoor,20251011_124758.jpg,0.542,1
outdoor,20251011_124801.jpg,0.526,1
outdoor,20251011_124826.jpg,0.526,1
outdoor,20251011_124831.jpg,0.532,12
outdoor,20251011_124908.jpg,0.512,11:30
outdoor,20251011_124918.jpg,0.491,1
outdoor,20251011_124934.jpg,0.589,11:30
outdoor,20251011_125316.jpg,0.594,12
outdoor,20251011_125329.jpg,0.594,11:30
outdoor,20251011_125334.jpg,0.579,12
outdoor,20251011_125625.jpg,0.542,11
outdoor,20251011_125636.jpg,0.527,11
outdoor,20251011_125652.jpg,0.582,11
outdoor,20251011_125700.jpg,0.521,11
outdoor,20251011_125714.jpg,0.507,11:30
outdoor,20251011_125726.jpg,0.525,12
outdoor,20251011_125752.jpg,0.51,11
outdoor,20251011_125817.jpg,0.567,11
outdoor,20251011_130329.jpg,0.567,11
outdoor,20251011_130337.jpg,0.542,11:30
outdoor,20251011_130351.jpg,0.502,11
outdoor,20251011_130722.jpg,0.497,3
outdoor,IMG-20251011-WA0009.jpg,0.254,11:30
outdoor,IMG-20251011-WA0011.jpg,0.266,11:30
outdoor,IMG-20251011-WA0012.jpg,0.285,11
outdoor,IMG-20251011-WA0013.jpg,0.296,11:30
outdoor,IMG-20251011-WA0014.jpg,0.326,12:30
outdoor,IMG-20251011-WA0022.jpg,0.272,12:30
