image,step,time_ms,percent_of_image
1.jpg,read_image,22.163,0.379
1.jpg,clahe,112.283,1.918
1.jpg,fft_denoise_1,168.655,2.881
1.jpg,log_kernel,0.117,0.002
1.jpg,log_convolution,8.154,0.139
1.jpg,edge_detection,3553.672,60.697
1.jpg,fft_denoise_2,164.310,2.806
1.jpg,depth_inference_tflite,169.036,2.887
1.jpg,combine_depth_edge,2.207,0.038
1.jpg,patchify,2.122,0.036
1.jpg,astar_pathfinding,0.183,0.003
1.jpg,slope_direction,0.082,0.001
1.jpg,draw_arrow,1.029,0.018
1.jpg,save_arrow_png,38.628,0.660
1.jpg,plot_and_save_grid,1612.103,27.535
1.jpg,TOTAL,5854.744,100.000
10.jpg,read_image,10.134,0.294
10.jpg,clahe,9.478,0.275
10.jpg,fft_denoise_1,79.674,2.310
10.jpg,log_kernel,0.118,0.003
10.jpg,log_convolution,3.932,0.114
10.jpg,edge_detection,1674.998,48.564
10.jpg,fft_denoise_2,50.390,1.461
10.jpg,depth_inference_tflite,165.198,4.790
10.jpg,combine_depth_edge,0.804,0.023
10.jpg,patchify,1.651,0.048
10.jpg,astar_pathfinding,0.119,0.003
10.jpg,slope_direction,0.064,0.002
10.jpg,draw_arrow,0.343,0.010
10.jpg,save_arrow_png,31.447,0.912
10.jpg,plot_and_save_grid,1420.737,41.192
10.jpg,TOTAL,3449.088,100.000
12.jpg,read_image,13.243,0.582
12.jpg,clahe,1.773,0.078
12.jpg,fft_denoise_1,45.060,1.980
12.jpg,log_kernel,0.100,0.004
12.jpg,log_convolution,1.703,0.075
12.jpg,edge_detection,1074.384,47.219
12.jpg,fft_denoise_2,47.398,2.083
12.jpg,depth_inference_tflite,163.889,7.203
12.jpg,combine_depth_edge,0.258,0.011
12.jpg,patchify,1.374,0.060
12.jpg,astar_pathfinding,0.125,0.006
12.jpg,slope_direction,0.051,0.002
12.jpg,draw_arrow,0.141,0.006
12.jpg,save_arrow_png,14.469,0.636
12.jpg,plot_and_save_grid,911.376,40.054
12.jpg,TOTAL,2275.344,100.000
13.jpg,read_image,20.394,0.410
13.jpg,clahe,8.132,0.163
13.jpg,fft_denoise_1,225.862,4.539
13.jpg,log_kernel,0.108,0.002
13.jpg,log_convolution,9.220,0.185
13.jpg,edge_detection,3025.825,60.815
